ID,smiles,label
107216002,O=C(O)Cc1ccc(S(=O)(=O)N2C[C@@H](O)[C@@H](O)C2)s1,0
92394666,Cc1cc(NC(=O)[C@H](C)OC(=O)[C@H](C)N2C(=O)c3ccccc3C2=O)on1,0
102095666,CCOC(=O)[C@]12C[C@H]1[C@H]1CC[C@@H]2C1,0
92133092,Cn1cc(Cl)c(=O)c(Br)c1,0
12233396,O=C1[C@H]2CCC[C@@H]1C1(CCCCC1)c1ccccc12,0
19625525,CCn1nccc1CNCc1cc(C(F)(F)F)nn1C,0
56659168,CCCCCCCCCC(=O)CC(=O)NCC1=CC(=CC(=C1)F)F,1
162787677,CN(C)c1ccc(/N=N/c2ccc(I)cn2)c(N)c1,0
44581696,C1COC(=O)[C@H]1NC(=O)COC2=CC=C(C=C2)Br,1
50991373,CCOC(=O)CNC(=O)CCC1=CC=C(C=C1)Cl,1
18362151,C=C(C(=O)O)[C@H](OC=O)C(Cl)(Cl)Cl,0
80921672,NNc1nc(N[C@H]2C[C@@H](O)C2)nc(N2CCCCC2)n1,0
5405,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,1
57403247,CCCCCNC(=O)C1CCCC1O,1
101162146,C1COC(=O)[C@H]1NC(=O)CC(=O)CC2=CC=C(C=C2)Br,1
53237929,CCOCCOCCNC(=O)CC(=O)N[C@H]1CCOC1=O,1
55002223,CC(C)CN(CC(=O)N1CCC(=O)CC1)C1CC1,0
136310321,Cc1nc2n(c1C(=O)O)NC(=O)CN2,0
20137105,CCSC1=C(C(=O)O)N2C(=O)[C@@H](OC)[C@@H]2S1,0
116044407,C=CC[C@@H](C)N1C(=O)NC(=O)C(CC)(CC)C1=O,0
47827005,CN(Cc1cscn1)S(=O)(=O)c1c(Cl)cccc1Cl,0
164836716,O=C1NC(=O)[C@]2(n3ccnn3)C[C@H]1C2,0
445070,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,1
70019163,C1COC(=O)[C@H]1NS(=O)(=O)CCCC2=CC=CC=C2,1
10467786,C1[C@H](CN2[C@@H]1C(=O)N[C@H](C2=O)CC3=CC=CC=C3)O,1
139263758,CCCC[C@@H](C=O)[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,0
100916283,CCCC#CC(=O)NC1CCOC1=O,1
67138,C1=CC(=CC(=C1)S(=O)(=O)N)[N+](=O)[O-],1
10404535,CCCCCCCCCC(=O)CC(=O)NC1=CC=CC(=C1)C(=O)N,1
140991029,CC1(C)[C@H]2CC[C@]1(C)[C@](O)(N=C=S)C2,0
7427,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,1
107179061,CC(C)[C@H](C#N)C(=O)[C@H]1CCCC1(C)C,0
4345164,CCCCCCCCC(=O)NC1CCCC1,1
13123639,CC1=CNC(=O)C(=N1)C,1
10621,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,1
637542,C1=CC(=CC=C1C=CC(=O)O)O,1
594528,CCCCCC1=CC(=O)C2=CC=CC=C2N1,1
ZINC000823620459,CCCCS(=O)(=O)CC(=O)N[C@H]1CCOC1=O,1
10221437,CCCCCCCCCCCC(=O)N[C@H]1CCOC1=O,1
71328653,O=C1C=CC(=O)C(Cl)(Cl)C1(O)O,0
150811591,O=C([O-])Cc1onc2c1ccc1ccccc12,0
44578158,CCCCCC(=O)NC1=C(COC1=O)Br,1
37465271,CC[N@H+](Cc1ccco1)C[C@H](O)COc1ccc(NC(C)=O)cc1,0
11820073,CCC(=O)CC(=O)N[C@H]1CCOC1=O,1
DKPs-1,[C@@H]3(CC1=CC=C(C=C1)O)NC(=O)[C@H]2C[C@H](O)CN2C3=O,1
QSIDB-17,C(CCCCC(=O)CC(=O)NN1CCCC1)CCCCO,1
11286652,CC1=CC2=C(C(=O)OC2=CO1)C,1
83004782,CN1CCN(NS(=O)(=O)N2CCC[C@@H](C(=O)O)C2)CC1,0
96076140,c1cn2c([C@H]3CCCN3)nnc2s1,0
106961536,CNCc1nnc(N[C@@H]2CCCOC2)o1,0
84717143,Cc1c2c(nn1C)CCC[C@@H]2O,0
156018605,CN(c1c(C(N)=O)cnc2[nH]ncc12)C1CCCCC1,0
3442,CCCCC1=CN=C(C=C1)C(=O)O,1
107924524,CN[C@H](Cc1nc(-c2cc(F)ccc2Br)no1)CC(C)C,0
44578159,C1C(=C(C(=O)O1)NC(=O)CCCC2=CC=CC=C2)Br,1
70575674,O=c1[nH]c2cc([N+](=O)[O-])ccc2n(-c2ccc(Cl)cc2)c1=O,0
5282729,CCCCCCCCC/C=C/C(=O)O,1
119193530,O=C(O)CN(Cc1ccc(Cl)cc1)C(=O)CCc1cccs1,0
24179361,CCCCCCCCCS(=O)(=O)N[C@H]1CCOC1=O,1
155655,CCCCCCCCC[C@]1(CC[C@H](C(=O)O1)C)CO,1
9921011,CCCCCC1=C(C(=O)C2=CC=CC=C2N1)O,1
63583733,CC[C@H](C(=O)NN)N1CCCC1(C)C,0
138414485,CC(=O)NCCN(C(=O)CCl)c1ccc(C)cc1,0
58974342,[2H]OCc1ccc2c(c1)c1cc(CO[2H])ccc1n2CCC,0
11507677,CCCCCCCCCC(CC(=O)NC1CCOC1=O)O,1
89330236,CC1=CC(C2CC2)=N[C@@H](O/N=C(\C)c2sc(-c3cccnc3)nc2C)N1,0
139255455,CC[C@H]1C(=O)[C@H]2CC[C@H]3[C@@H]1CCCC(=O)N23,0
29923230,C[C@@H]1CC[C@H](CC(=O)[O-])[NH2+]C1,0
45083262,CC1=C(C(=O)OC1O)[C@H](C)O,1
9943796,CCCCCCCCCC1=C(C(=O)C2=CC=CC=C2N1)O,1
76135073,C=CC[C@H](CCCc1cc(C)cc(C)c1)c1ccc(Cl)c(Cl)c1,0
448719,C[C@@]1(C([C@H](CO1)O)(O)O)O,1
44240053,C1COC(=O)[C@H]1NC(=O)CC(=O)CCCCCCCCCCNC(=O)CCl,1
102201696,CC(C)C1C(=O)CC(CC1=O)CCC2=CC=CC=C2,1
5114876,[N-]=[N+]=Nc1cc(-c2ccccc2)nc2cc3c(cc12)OCO3,0
169453016,Cc1ccc(N)nc1C=CCO,0
56907605,Cc1ccc(CCN2C(=O)CC[C@H]3CN(C(=O)C4(C#N)CC4)CC[C@H]32)o1,0
61612490,CCc1ccc(COc2cc3c(cc2CCN)OCO3)s1,0
102089515,CN1CCC=C1C#CO,0
ZINC238214799,CCCCCC(C1=CC(OC1=O)C)O,1
145720640,CC(C)CCCCCCCCC1=C(C=C(OC1=O)CC(C)C)O,1
88264898,O=C1OCC[C@@H]1[C@@H](/C=N/c1ccn[nH]1)OCc1ccccc1,0
166687776,Cc1ccc(/C(=N/OCc2ccc(C#N)c(C)c2)c2ccc(C)c(Cl)c2)nc1,0
53736377,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1-c1cccc2n[nH]nc12,0
23654558,CCCCCCCCNC(=O)C(C(=O)N[C@H]1CCOC1=O)F,1
47453530,COc1ccccc1Sc1nn2cc(C)nc2s1,0
11389479,CC1=C2C(=CC(=O)O2)C=CO1,1
122479353,N#Cc1n[nH]nc1-c1ccc(-c2ccc(C=O)cc2)cc1,0
13398317,Cc1nc(-n2c(C)ccc2C)sc1Cc1ccccc1,0
101162142,C1COC(=O)[C@H]1NC(=O)CC(=O)CC2=CC=C(C=C2)Cl,1
6935335,C1CSC(=O)[C@H]1NC(=O)CC2=CC=C(C=C2)Br,1
56929826,C1CC2=CC(=O)OC2=C(C1)Br,1
9865120,CCCC(C1=CC(=C(Br)Br)OC1=O)Br,1
130992348,ClC(Cl)(Cl)c1ccc(NC2CC2)nc1,0
145720638,CCCCCCCCC1=C(C=C(OC1=O)CC(C)C)O,1
136732058,CC(=O)C1=CSC(=N1)C2=CC=CC=C2O,1
154568777,CC[C@@]1(C(=O)NCc2ccncc2)C[C@@H]2CC[C@H]1N2C(=O)c1ccco1,0
11266242,CCCCCCCS(=O)CC(=O)N[C@H]1CCOC1=O,1
145741803,CN(C)[Si@@H](C)N1[Si@@H](C)N[SiH](C)N[Si@@H]1C,0
24894034,O=C1C[C@@H](C(F)(F)F)Cc2nc3ccc(Br)cc3cc21,0
107578450,CNc1c(F)cc(C(=O)Nc2cc(C)cc(Br)c2)cc1F,0
28577549,Cc1sc2ncn(CC(=O)NC(=O)NCCc3cccs3)c(=O)c2c1C,0
151911662,O=C(CBr)c1ccccc1-c1nccs1,0
147154388,[H]/N=N/C=C(C)\C=C\SC,0
56935691,CCCCCNC(=O)C1CCOC1=O,1
10131761,CCCCCCCCNS(=O)(=O)CC(=O)N[C@H]1CCOC1=O,1
11737767,CCCCCCCSCC(=O)N[C@H]1CCCC[C@@H]1O,1
43824852,C[C@@H](C(=O)Nc1ccccc1C(N)=S)N1CCOC1=O,0
170827460,NC[C@H](O)[C@H](O)c1cn[nH]c1,0
61768899,CCCN[C@@H](COCCCOC)c1cc(C)ccc1C,0
89241663,C1COC(=O)C1NC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1
93531741,COc1ccc(-c2cs/c(=N/N=C\c3cccc(OC)c3)n2C)cc1,0
11435036,CC1=CC2=CC(=O)OC2=CO1,1
6621931,CC(C)CC(C(=O)NCC1=CC=C(C=C1)Cl)NS(=O)(=O)C2=CC3=C(C=C2)N(CC3)C(=O)C,1
83651,C1=C(C=C(C(=C1O)O)O)C=O,1
103736297,O=C(NCCc1ncon1)c1cccc(Cl)c1[N+](=O)[O-],0
ZINC1184950583,C1=CC=C(C=C1)CCNC(=O)N[C@H]2C(=O)OCC2,1
2743626,CC1=C(C(=NN1C)C(=O)NNC(=O)C2=CC=CS2)Br,1
142448494,O=C1NC[C@@H](O)[C@@H]1C(=O)NNc1cccnc1,0
121739484,CS(=O)(=O)C1(C(=O)N2CCCC3(CCCCC3)C2)CCNCC1,0
47974232,CCc1nc(CN(C)C(=O)C(=O)Nc2ccc3nccnc3c2)cs1,0
42472027,COc1ccc2c(c1)O[C@H](C)C[N@H+](CCC(=O)NCCn1cccn1)C2,0
147359844,O=C1C[C@H](S)C(=O)N1OC(=O)[C@H]1CC[C@H](CN2C(=O)C=C[C@H]2O)CC1,0
44423216,CCCCCCCCC1=CC(=O)C2=CC=CC=C2N1O,1
158031387,CCC[C@](NC(=O)Cc1cc(F)cc(F)c1)(C(=O)O)c1ccc([C@H](C)O)cn1,0
25063373,C[C@@H]1CN([C@H](c2ccccc2)c2cccc(Cl)c2)CCN1CC(=O)O,0
56935707,CCCCCCCCCCNC(=O)C1CCOC1=O,1
10471788,CCCCCCCCCC(=O)CC(=O)NC1=CC2=C(C=C1)NN=C2,1
102288253,C=CC1=[N+]([O-])C(C)(C)C(C)(C)N1[O-],0
104121438,CC(C)CNc1ccncc1CNC1CC1,0
137656902,CCCOC1=CN=C(C=C1)C(=O)OC,1
25014958,C1COC(=O)[C@H]1NC(=O)CC2=CC(=C(C=C2)F)C(F)(F)F,1
68617,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,1
92524980,O=[N+]([O-])c1ccc(N/N=C2\CC[C@@H]3C[C@H]23)c([N+](=O)[O-])c1,0
100732850,CCO[C@]1(C(=O)Nc2ccc(OCCCN3CCCC3)cc2)CCC[C@@H](C)C1,0
25200942,CC(=O)C(=O)[C@@H](CO)O,1
8094907,C[C@@H](Sc1nc2ccccc2o1)c1nnc(-c2cccs2)o1,0
284845,CCCCCCCCCCCCNC1=CC=CC=N1,1
23582901,CCCCCCCCN(C)C(=O)CC(=O)N[C@H]1CCOC1=O,1
129909933,CCCNC(=O)NC1CCOC1=O,1
55137044,Cc1cc(C(=O)O)ccc1N(C)[C@@H](C)C1CC1,0
