ID,smiles,label
139587626,C1[C@H](CN2[C@@H]1C(=O)N[C@H](C2=O)CC3=CC=C(C=C3)O)O,1
16810814,Cn1c(=O)n(C/C=C/c2ccccc2)c(=O)c2c1nc1oc(C(C)(C)C)cn12,0
137632157,COC1=CC=CC(=N1)C2=CN=C(C=C2)C(=O)OC,1
56935692,CCCCCCNC(=O)C1CCOC1=O,1
110034501,COCCC1(CN/C(=N\CC(=O)N(C)C)N[C@H]2CCCC[C@H]2C)CC1,0
107428,C([C@H]([C@@H]([C@H](C(=O)CO)O)O)O)O,1
64963074,CC[C@@H]1C(=O)NC(C)(C)C(=O)N1[C@@H](C)c1cccnc1,0
17164375,CCCCCCCCCCCC(=O)NN1CCCCC1,1
65539710,CCCCc1nc(Cl)c(CN[C@H](C)C[C@H](C)CC)[nH]1,0
53237929,CCOCCOCCNC(=O)CC(=O)N[C@H]1CCOC1=O,1
172303108,COc1c(C)cn2c(Cl)c(C)nc2c1F,0
20116621,C1=CC(=CC(=C1)C2=NN=C(O2)N)C#N,1
56672559,C1CSC(=O)C1NC(=O)CCCOC2=CC=C(C=C2)Cl,1
165505667,C[C@@H]1C[C@@H](c2cscc2C(F)F)N[C@@H](C)C1,0
140740242,[3H]n1ccc(OCc2c(CC)ncnc2-n2nnn(C)c2=O)n1,0
77113203,CCc1cc(C(=O)NC(CC)(CC)C(N)=NO)n(CC)n1,0
73880028,COc1cccc([C@H]2C=CC3=NC(=O)C=C(C)C3=C2)c1,0
58565890,CCc1ccc(-c2[nH]nc3nc(-c4ccc5cc[nH]c5c4)ccc23)cc1,0
105389526,CCNCc1ccnc(N(CCOC)[C@@H](C)C2CC2)c1F,0
123799361,CC(C)CC(C)(C)S1(C)=CC=1,0
ZINC238252320,CCCCN(C)C(=O)N[C@H]1CCOC1=O,1
156022673,O=C(O)c1cccc(N=C=S)c1C1=CCC=C1,0
28468309,Cc1ccc(CNc2ccccc2F)c(C)c1,0
18167919,Cc1ccc(CNC(=O)CN2CCN(c3cnccn3)CC2)cc1,0
89573183,CC(C)CCCCC=CC/C=C\C(=O)O,1
131123698,CSCCN1CCCN1,0
AHLs-COOH-2,CCCCCCCCCCCC(=O)N(C1CCOC1=O)C(O)=O,1
25015207,CCOC1=CC=C(C=C1)C(=O)N[C@H]2CCOC2=O,1
44449543,CCOC1=CC=C(C=C1)CC(=O)N[C@H]2CCOC2=O,1
67156212,CC(C)(O[Si](C)(C)C(C)(C)C)[C@H]1COCc2nc3cnc4ccccc4c3n21,0
AHLs-COOH-3,CCCCCCCCCCCCCC(=O)N(C1CCOC1=O)C(O)=O,1
105836753,CCCN1CCC([C@H](C)N[C@H]2C[C@H](OC)C2(C)C)CC1,0
34756,C[S+](CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,1
128145362,CN(CCN1CCOC(C)(C)C1)C(=O)NCC1(N2CCOCC2)CCCCC1,0
168567968,COC(=O)/C=C(/Nc1cc(C(F)(F)F)cc([N+](=O)[O-])c1F)C(=O)OC,0
47370379,CNC(=O)CN(C)c1nc2c(c(=O)[nH]c(=O)n2C)n1C,0
94214422,CCOC(=O)[C@@H](C)N[C@H](c1cccs1)C(C)C,0
87301538,CCCC[C@](OC(=O)O[C@](CCCC)(C(N)=O)N(C)C)(C(N)=O)N(C)C,0
53646823,CC(=O)OCSc1ccc(-c2cc(Cl)nn2-c2ccc(C)cc2)cc1,0
QSIDB-5,CCCCCCCCCCS(=O)(=O)CC(=O)N[C@H]1CCOC1=O,1
38988802,C1COC(=O)[C@H]1NC(=O)C2=CC=C(C=C2)Br,1
76285521,C1CCC(=C2C(=CC(=O)O2)C1)Br,1
11286652,CC1=CC2=C(C(=O)OC2=CO1)C,1
118735093,C1CC(=O)N(C1=O)CCCC(=O)OC2=C(C=C(C=C2Br)Br)CNC(=O)C3=CC=CC=C3[N+](=O)[O-],1
44581693,COC1=CC=C(C=C1)OCC(=O)N[C@H]2CCOC2=O,1
53238847,CCCCCCCCNC(=O)CC(=O)NC1=CC=CC=C1O,1
163577457,C[C@@H]1C=CC=C2C3=C(C=CNC3)S[C@H]21,0
104257577,N[C@H]1[C@H]2CC[C@H](C2)[C@@H]1c1nc2ncccc2o1,0
104909979,CSCC[C@@H](NC(=O)NCCCN1CCNCC1)C(=O)O,0
132897473,C=C1c2cc(OC)ccc2NC(=O)N1S(=O)(=O)c1ccc(C)cc1,0
76051021,CC[C@@H](NC(=O)[C@@H]1CC[C@@H]2C(=O)NC(=S)N[C@@H]2C1)c1ccc(OC)cc1,0
16253,C1(=C(N=C(N1)Br)Br)Br,1
90991128,C[C@@H]1C[C@@]1(C)[C@H](C)c1cnc(C(F)(F)F)nc1,0
112728926,CC=CC(=O)N1CCCN(CCOC)CC1,0
6914579,CCCCCCCC(=O)N[C@H]1CCOC1=O,1
44239901,C1COC(=O)[C@H]1NC(=O)CC(=O)CCCCCCCCCNC(=O)CBr,1
9900052,CC1=C(/C(=C/Br)/OC1=O)Br,1
68869017,CCCCCCCCCCCCC(=O)N[C@H]1CCOC1=O,1
82428746,CCc1nc(-c2ccncc2)sc1-c1n[nH]c(=S)o1,0
59807417,Oc1cccc(-c2nc(N3CCSCC3)c3cnn(-c4ccccc4)c3n2)c1,0
134987036,CC1=CNC(=O)C(=N1)CC2=CC=CC=C2,1
57721036,CC1(C([C@H](CO1)O)(O)O)C,1
101162152,CC1=CC=C(C=C1)CC(=O)CC(=O)N[C@H]2CCOC2=O,1
117004017,CCCN(CCCNC)C(=O)OC(C)(C)C,0
60950444,O=C(O)CCCS(=O)(=O)N(CCO)CCO,0
10685,C1=CC=C2C(=C1)C(=CN2)CCO,1
8404,C1CCC2=CC=CC=C2C1,1
10470602,CCCCCCCCCC(=O)CC(=O)NC1CCCCC1=O,1
4457056,C1=CC=C(C(=C1)NC(=O)C2=CC(=CC=C2)Cl)NC(=O)C3=CC(=CC=C3)Cl,1
25014704,C1COC(=O)[C@H]1NC(=O)CC2=CC(=CC=C2)Cl,1
9877509,C\1=CC(=O)O/C1=C\Br,1
148515663,[2H]C1([2H])CN(C(C)(C)C)C([2H])([2H])C([2H])([2H])N1C(=O)O[C@@]([2H])(C)C(F)(F)F,0
69690497,NC(=O)NCC(=O)CCc1ccccc1,0
91990925,Clc1ccc(/C=C2\CCCC[C@@H]2N2CCC2)cc1,0
101998931,CCCCCCCCCC1(CC(=O)N[C@H]2CCOC2=O)OCCO1,1
25015212,CCCCCCCOC1=CC=C(C=C1)C(=O)N[C@H]2CCOC2=O,1
21636735,CCC1=C(C(=C(Br)Br)OC1=O)Br,1
28982641,CCCCN(CCCC)[C@](C)(CN)CCc1ccccc1,0
103589432,CN[C@@H](COc1cc(Br)cc([N+](=O)[O-])c1)C(N)=O,0
83984611,CC[C@H](N)c1c[nH]c2cc3c(cc12)CCCC3,0
19066272,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(C2(C(=O)O)CCCCC2)s1,0
600307,CCCCCCCCCCCC1=CC(=O)C2=CC=CC=C2N1O,1
68261272,Cc1nc2cnc3[nH]ccc3c2n1[C@@H]1CC[C@@H](NC(=O)CC(F)(F)F)C1,0
13789214,C/C=C/Cn1cnc(N)c2ncnc1-2,0
147854194,NC(=O)c1c(/N=C/c2cccc(O)c2)n[nH]c1Cc1cccnc1,0
11196584,CCCCCCCSCC(=O)N[C@H]1CCC[C@@H]1O,1
152031092,CCCC[C@@H](C)[C@](CCC)([C@@H](C)CCC)C(CCC)(CCC)N=[N+]=[N-],0
10455,CS(=O)CCCN=C=S,1
145720642,CC(C)CCCCCCCCCCC1=C(C=C(OC1=O)CC(C)C)O,1
91148698,O=C(Cc1n[nH]c(=O)c2c1CCCC2)Nc1nc(O)cs1,0
44194480,CCCCCCCC(=O)[C@H](CC)O,1
10130163,CCCC(=O)N[C@H]1CCOC1=O,1
53238392,CCCCCCCCCN(CC(=O)N[C@H]1CCOC1=O)O,1
163614502,CC(=O)Oc1ccc(C(=O)[C@H](C)Oc2ccccc2[N+](=O)[O-])cc1,0
HAQs-9,CCCCCCCCC=CCC2=CC(=O)C1=CC=CC=C1N2O[H],1
141536447,O=C[C@]1(N2CCCC2)C=Cc2ccccc2N1,0
169309298,Cc1ccccc1-c1[nH]c2cc3sc4ccccc4c3cc2[n+]1C,0
61345414,Cc1nc([C@H](NC(C)C)c2cc(Br)cs2)sc1C,0
130123309,CCCC(C1=CC(OC1=O)C)O,1
9881496,C1=C(/C(=C\Br)/OC1=O)Br,1
144545940,CN1CC2=CCCC=C2OC1=O,0
44581690,C1COC(=O)[C@H]1NC(=O)CC2=CC=CC3=CC=CC=C32,1
116720934,CCO[C@@H](C(C)C)[C@H](N)c1cncc(OC)c1,0
ZINC216062113,CCCCCCCCCCCCCCN1N=C(N=N1)CC(=O)O,1
ZINC220823419,CCCCCCCC=C1C=CC(=O)O1,1
83636539,O=C(O)/C=C1\CCC(=O)N(P)C1,0
3893,CCCCCCCCCCCC(=O)O,1
123933399,CC#Cc1cc(-c2cc3c(s2)CCC[C@@]32CCSC(N)=N2)ccc1OC,0
10706,CC(=O)C1=C(C(=C(C=C1)O)O)O,1
101165708,CC[C@H](O)c1cocc1CO[Si](C)(C)C(C)(C)C,0
170156659,O=C1CNC2(CN1)CN(C(=O)O)C2,0
128278722,O=S(=O)(c1ccc2ncsc2c1)N1CC[C@@H](C(F)(F)F)C2(CCC2)C1,0
152664200,CCCCCCCCCCC=C[C@@](CC(=O)O)(C(=O)O)C1CC1,0
91450776,CCCCCCCCCCCC(=O)NN1CCNCC1,1
11021563,CCCCCCCCCCC[C@@H](CC(=O)OC)O,1
16122585,CCCCCCCCCC(=O)CC(=O)N[C@H]1CCNC1=O,1
ZINC315641037,CCCCCCCCCCCCNC1=CC=C(C=C1)C(=O)N,1
21024128,CCCC(C1=C(/C(=C/Br)/OC1=O)Br)Br,1
126799638,Cn1ncnc1[C@H]1COCCN1C(=O)c1cccc(Oc2ccc(Cl)cc2)n1,0
163774424,Cc1cccc(Oc2ccc3c(-c4c(Cl)cccc4Cl)c(=O)ncn3n2)c1,0
122211125,C=CCCCCCCCC(=O)NC1CCOC1=O,1
41681972,CCc1ccc(C(=O)[C@H](/C([S-])=N/C2CC2)[n+]2ccccc2CC)s1,0
51021416,C=CC[C@]1(C)C(=O)[C@@H]2C[C@H]1[C@@H](C)[C@H]2CO[Si](C)(C)C(C)(C)C,0
70684399,CCCCCC1=NN=NN1C2CCOC2=O,1
68549538,CC(C)(C)OC(=O)N[C@@H]1C[C@H](N)CC[C@H]1CO,0
120173879,CNCCN(C)C(=O)C(C)(C)c1ccccc1Cl,0
25015360,CSC1=CC=CC(=C1)CC(=O)N[C@H]2CCOC2=O,1
112665176,CC[C@@](C)(CO)CN(C)[C@@H](C)CSC,0
11161410,CC1=CC=C(C=C1)SCC(=O)N[C@H]2CCOC2=O,1
130142338,CC(C)[C@H]1O[C@]1(CO)[Si](C)(C)C,0
83047436,CCC[C@@H](Sc1nnc(N)n1C(C)C)C(=O)NN,0
15908138,CCCc1csc2c(NC(C)(C)C)nc(Cl)nc12,0
107040662,COC(=O)CCc1csc(N2C[C@H](C)C[C@H]2C)n1,0
46692871,C[C@@H](Sc1ncc(-c2ccc(F)cc2)o1)C(=O)Nc1cccc(F)c1,0
70696952,CCCCCC1=CN(N=N1)CC(=O)OCC,1
52811614,NC(=O)C[C@@H]1CCCCN1C(=O)c1cccc(OCc2cccs2)c1,0
59019103,C[N@+]1(CCO)CC[N@@+](CCO)(Cc2ccccc2)CC1,0
113942221,NN[C@@H](c1ccc(F)c(C(F)(F)F)c1)c1cnsn1,0
QSIDB-2,C(CCCCCCCNN(CC(=O)N[C@H]1CCOC1=O)O[H])C,1
AI-3-2,C1(=NC(=CN(C1=O)[H])C)CCSC,1
15939004,C[C@]1(CC(=O)N(O)Cc2ccccc2)NN=C(c2ccccc2)S1,0
161353176,c1ccc(-n2c3[n+](c4c2cn2cnccc42)Cc2cccnc2-3)cc1,0
2743626,CC1=C(C(=NN1C)C(=O)NNC(=O)C2=CC=CS2)Br,1
10801306,C1[C@H](CN2[C@H]1C(=O)N[C@H](C2=O)CC3=CC=CC=C3)O,1
67582779,CN(C)c1cccc(NC2=NC=CN3C2=NC[C@@H]3c2cncn2C)c1,0
140020968,C=Cc1ccc(COC(=O)CC2=CC(=O)NC2=O)c(C)c1,0
QSIDB-12,C(CCCCC(=O)CC(=O)NN1CCCCC1)CCCCO,1
63516795,C[C@@H]1CCC[C@@H](SCCNCc2ccc(Cl)s2)C1,0
129975568,Cc1ccc(Cl)c2c([C@@H](O)CCN)c[nH]c12,0
124165223,C=C1CCC(=O)N1OC(=O)CCCCC(=O)ON1C(=O)C=CC1=O,0
128760217,N[C@H]1CCN(C(=O)Nc2ccc(Br)c(C3CC3)n2)C1,0
96330553,CC[C@@H]1CN(CC(C)C)c2cc(N)ccc2N1C,0
150345706,CCC(N=[N+]=[N-])=NOCc1ccc(C(F)(F)F)cc1,0
59686487,CCc1cc(Cl)no1,0
127037565,CCCCCC(=O)NC1=CC=C(C=C1)C2=NCCN2,1
104534933,CNc1cncc(N[C@H]2CC[C@@H](C)[C@H](C)C2)c1,0
DKPs-2,[C@H]12C[C@H](O)CN1C(=O)[C@H](NC2=O)C(C)C,1
ZINC1191211417,C1=CC=C(C=C1)CCCNC(=O)N[C@H]2CCOC2=O,1
131597695,CC(=O)[C@@H](Cl)c1ccc(O)c(OC(F)F)c1,0
8488351,CC[C@H](Sc1nc(-c2ccccc2C)nc2c1c(=O)n(C)c(=O)n2C)C(=O)[O-],0
54778360,CCCCOc1ccccc1[C@@]1(C)Nc2ccccc2C(=O)N1C,0
11240796,CC1=CC2=C(C(=O)OC2=C(O1)C)C,1
1057,C1=CC(=C(C(=C1)O)O)O,1
89256628,CNC(=O)/C=C/C1=CCC=CO1,0
118735087,C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)CCNC(=O)CCl)[N+](=O)[O-],1
239006,CCOC(=O)CNC(=O)CC1=CC=CC=C1,1
10062823,CCCCCCCCCC(=O)CC(=O)NC1=CC=CC=N1,1
18951817,Oc1c(SCc2ccccc2)ccc2ccccc12,0
25014781,C1COC(=O)[C@H]1NC(=O)CC2=CC=C(C=C2)C(F)(F)F,1
58049400,CC(C)(C)c1ccc(F)c(-c2ccc(C(F)(F)F)cc2)c1,0
154985324,C=C/N=C/C(=N\C=C)N1C(=O)C(C)(C)c2ccc(-c3cnc(C)nc3)cc21,0
117278985,Cc1ccc(Cl)c(CN=C=O)c1,0
11252410,CCCC(=O)N[C@H]1CCCC[C@@H]1O,1
3625594,CC(C)(C)[C@H]1CC[C@H]([C@@H]2CCCCCN2)CC1,0
36361156,O=C(CCCNc1ccc([N+](=O)[O-])cc1)N[C@H](C[NH+]1CCCC1)c1ccccc1,0
12907067,NCCN1C(=O)c2cc(F)cc(F)c2[C@]1(O)c1ccccc1,0
157199846,c1cc2c3c(c1)c1cccc4c1n1c(c[n+](c31)C2)CO4,0
106566176,COCCCn1cc(C)nc1N[C@@H]1CCN2CCC[C@H]12,0
25027490,CCCCCCCCCC(=O)CC(=O)NN1CCCCC1,1
118735678,C1=CC=C(C(=C1)C(=O)NCC2=C(C(=CC(=C2)Br)Br)OC(=O)CCCN=C=S)[N+](=O)[O-],1
71393758,O=C(O)c1cccc(/N=C/C(=O)c2ccc3ccc4ccccc4c3c2)c1,0
106718549,CCn1nc(C)c(Br)c1Cn1cnc(CNC)c1,0
11595303,CC(C)(C)C1=NN(C(=C1)C(=O)NNC(=O)C2=CC=C(S2)Cl)C,1
DKPs-1,[C@@H]3(CC1=CC=C(C=C1)O)NC(=O)[C@H]2C[C@H](O)CN2C3=O,1
58739629,Cc1ccc(C(=O)CSc2nc(N)c(C#N)c(-c3ccccc3)c2C#N)c(C)n1,0
11334644,C1COC(=O)[C@H]1NC(=O)CSC2=CC=C(C=C2)O,1
11769098,CC(=O)C(=O)OCC1=CC=CC=C1,1
129254241,C=C[C@@H]1C[C@]2(CO2)CC(C)(C)O1,0
135097720,CO[C@H]1COCC[C@@H]1NC(=O)c1c(N2CCOCC2)noc1-c1ccccc1,0
QSIDB-20,CCCCCCCC2=NC1=C(C=CC(=C1)Cl)C(=O)N2N,1
49512020,C[C@@H](OC(=O)c1ccc(Cl)nc1Cl)C(=O)N[C@H](C)c1ccc(F)cc1,0
27170456,CCC[C@]1(O)[C@H](C)[C@@H](c2ccccc2)[N@H+](C)[C@@H](c2ccccc2)[C@@H]1C,0
87606813,CCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,1
136271903,NC/C(=N\O)c1ccc(-c2ccc([C@@H](O)[C@@H](CF)NC(=O)C(F)F)cc2)cn1,0
101162158,C1COC(=O)[C@H]1NC(=O)CC(=O)CC2=CC(=CC=C2)Cl,1
76325248,C1CC(=C2C1=CC(=O)O2)Br,1
89977987,O=C([O-])[C@H]1CC[C@@H](O[N+](=O)[O-])CC1,0
168639322,C[C@H]1Cc2ccccc2N1S(=O)(=O)c1ccc(NC[C@@H](O)CCl)cc1,0
57392938,C[C@@H]([C@@H](C(=O)C(=O)C)O)O,1
50991459,CCCCCC(=O)N[C@H]1CCSC1=O,1
121297578,C=C[C@@H]1C[C@]1(NC(=O)O)C(=O)NS(=O)(=O)C1(C(=C)C)CC1,0
101159892,CCCCCC(=O)N[C@H]1C[C@H](OC1=O)CO,1
124886,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,1
ZINC238244834,CCCCCNC(=O)N[C@H]1CCOC1=O,1
736942,CC(C)[C@H]1C(=O)NCC(=O)N1,1
136777113,COc1cc(/C=C/c2ncc(C(=O)O)s2)cc(OC)c1O,0
108064539,CCn1c(CCl)nnc1-c1ccc([N+](=O)[O-])s1,0
3320713,CCCCCCCCCC(=O)NC1CCCC1,1
72276849,Nc1ccc2c(c1)NC(=O)C2=C(NC1CCCCC1)c1ccccc1,0
67810840,CCc1c(C)n(C)c(=O)n(C)c1=O,0
67278013,NC1=Nc2ccc(NCc3nccs3)cc2[C@@H](C2CCCCCC2)O1,0
55066651,OCc1cn(Cc2cc(-c3ccccc3)on2)nn1,0
60038763,CCCCCCCCCC(=O)CC(=O)N[C@H]1CCCC1=O,1
25027489,CCCCCCCCCC(=O)CC(=O)NN1CCCC1,1
115883370,C[C@H]1CC[C@@H](CO)CN1Cc1cc[nH]c1,0
155655,CCCCCCCCC[C@]1(CC[C@H](C(=O)O1)C)CO,1
91033168,COc1c(F)c(F)cc2c(O)c(C(=O)O)c(=O)n(C3CC3)c12,0
103205298,N[C@H]1CCCN(C(=O)CCOCC(F)F)c2ccccc21,0
70694898,CCCCCCCC1=CN(N=N1)C2CCOC2=O,1
56659167,C1CSC(=O)[C@H]1NC(=O)CCC2=CC3=CC=CC=C3N2,1
3148049,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NC2CCSC2=O,1
4680721,CCOC(=O)CNC(=O)CC1=CC=C(C=C1)Br,1
50905017,CCCCCCCC(=O)N[C@H]1CCSC1=O,1
18927503,C#CCCCCCCCC1=CC(=C(C)C)c2ccccc21,0
36502438,C[C@H]1CCC[C@H](C)N1C(=O)C[n+]1ccc2ccccc2c1,0
11266242,CCCCCCCS(=O)CC(=O)N[C@H]1CCOC1=O,1
10034659,[2H]C[C@@]1(C)CCCC([2H])([2H])C1=O,0
141240403,CO[Si](C)(CCCCCCCCC1=C(C)C(C)=C(C)[C@H]1C)OC,0
9858026,CCCCCCCCCCCCCCC[C@H](CC(=O)OC)O,1
9882065,CCN1Cc2ccccc2[C@@H](C)[C@H]1COC(=O)N(C)C,0
136265751,CC1=N/C(=C\c2sc3ccccc3c2Br)C(=O)N1,0
101162146,C1COC(=O)[C@H]1NC(=O)CC(=O)CC2=CC=C(C=C2)Br,1
5488186,C1=CC2=C(C=C1O)C(=O)OC3=C2C=CC(=C3)O,1
66863151,CC[C@@H](C)O[C@@H]1C=C(C(=O)OC)C[C@H](N)[C@H]1NC(C)=O,0
141357308,CCN1C[C@H]2C[C@@H]1C(C=O)=N2,0
